Name,% Docs Cited,Web of Science Documents,Rank,Times Cited,Category Normalized Citation Impact,Documents in Q1 Journals,Domestic Collaborations,Citation Impact,H-Index,International Collaborations,Industry Collaborations,Highly Cited Papers,Citations From Patents,Web of Science ResearcherID,% Highly Cited Papers,ORCID
"Al-Jodah, Ammar",100.0,12,69,369,1.8393500000000003,5,1,30.75,11,6,0,0,0,U-6920-2019,0.0,0000-0003-4536-1240
"Faraone, Lorenzo",91.67,36,70,367,0.4343638888888889,17,4,10.194444444444445,12,13,1,0,3,CQN-3640-2022,0.0,0000-0002-3087-7079
"Lowe, Ryan J",92.31,13,71,356,1.2862923076923078,13,0,27.384615384615383,9,8,0,0,0,A-5032-2012,0.0,0000-0002-7080-8406
"Chau, Tat Kei",90.48,21,72,348,1.2575952380952382,16,6,16.571428571428573,11,11,3,0,3,AAF-7775-2021,0.0,0000-0001-9270-677X
"Braunl, Thomas",100.0,12,73,342,0.7265416666666668,7,3,28.5,10,2,0,0,4,DUX-8774-2022,0.0,0000-0003-3215-0161
"Sagar, Netramani",100.0,3,74,341,1.4023333333333337,3,0,113.66666666666667,3,0,0,0,0,GDT-0465-2022,0.0,0000-0001-7918-0339
"Wan, Dominic Law Yim",100.0,2,75,338,7.408650000000001,2,0,169.0,2,0,0,1,0,GHT-3218-2022,50.0,
"Liu, Yujing",100.0,3,76,332,5.3273,3,0,110.66666666666667,3,3,0,1,2,A-6844-2019,33.33,0000-0002-3304-4726
"Skrzypek, Grzegorz",100.0,11,76,332,1.5025090909090908,11,5,30.181818181818183,8,6,7,0,0,B-4202-2008,0.0,0000-0002-5686-2393
"Mark, Peter J",67.74,62,76,332,0.46049677419354845,2,20,5.354838709677419,12,2,0,0,0,H-5365-2014,0.0,0000-0003-1812-2148
"Doherty, James",79.31,29,79,331,0.5936724137931034,15,2,11.413793103448276,10,12,0,0,0,GEC-4702-2022,0.0,0000-0002-8939-6384
"Small, Michael",73.68,19,80,325,0.933878947368421,13,7,17.105263157894736,10,10,0,0,3,C-9807-2010,0.0,0000-0001-5378-1582
"Kimiaei, Mehrdad",93.94,33,81,323,0.6742484848484849,26,5,9.787878787878787,11,12,0,0,0,GFO-2650-2022,0.0,0000-0001-5057-6540
"Callow, Nik",100.0,7,82,321,1.9254,7,5,45.857142857142854,5,2,0,0,0,H-8926-2014,0.0,0000-0001-6525-953X
"Wu, Yanrui",100.0,4,83,315,3.204225,4,0,78.75,4,4,0,1,0,C-2458-2013,25.0,0000-0002-8966-1459
"Qu, Lili",100.0,11,84,314,2.2718545454545453,8,5,28.545454545454547,9,3,0,1,0,GCN-4744-2022,9.09,0000-0002-4765-7048
"Cortese, Luca",100.0,13,85,313,1.1490384615384617,5,11,24.076923076923077,10,2,0,0,2,GBA-6864-2022,0.0,0000-0002-7422-9823
"Kennedy, Brendan F",57.14,7,85,313,0.8069714285714287,6,4,44.714285714285715,4,2,0,0,7,C-2455-2013,0.0,0000-0003-4782-0498
"Pan, Jie",82.14,28,87,307,0.46340357142857147,12,1,10.964285714285714,11,18,0,0,0,KFW-0817-2024,0.0,0000-0002-3975-6417
"Vulpe, Cristina",87.5,8,88,306,1.4601000000000002,3,3,38.25,6,1,0,0,0,H-6026-2014,0.0,0000-0003-2616-8189
"Al Ghafri, Saif",95.65,23,89,297,1.1059608695652174,19,7,12.91304347826087,10,14,9,0,0,GAA-0018-2022,0.0,0000-0003-3093-8879
"Milne, Ian A.",100.0,18,90,289,0.6973444444444445,16,4,16.055555555555557,9,11,2,0,0,CBZ-3228-2022,0.0,0000-0002-8552-2208
"Dong, Minhao",90.91,11,91,284,1.5324818181818183,4,1,25.818181818181817,9,9,0,0,0,CNH-3540-2022,0.0,
"Dehghani, Ayoub",100.0,7,92,278,1.6819428571428574,3,4,39.714285714285715,7,3,0,0,1,G-5654-2018,0.0,0000-0002-7417-2409
"Keating, Adrian J",95.0,20,92,278,0.78258,12,1,13.9,7,4,0,0,1,B-9169-2013,0.0,0000-0003-4284-5653
"Li, Wai",100.0,11,94,270,1.6221727272727273,9,2,24.545454545454547,8,9,0,0,0,C-8409-2017,0.0,0000-0002-1563-2727
"Smith, Kate",100.0,11,95,269,0.9257454545454546,11,2,24.454545454545453,9,4,0,0,0,IZD-4956-2023,0.0,0000-0003-4077-1996
"Gao, Qi",100.0,13,95,269,1.4632461538461539,9,1,20.692307692307693,9,9,3,0,0,ABB-5642-2021,0.0,0000-0002-1437-9408
"Kumar, Deepak",100.0,15,97,268,0.7442666666666667,6,0,17.866666666666667,9,10,0,0,0,AAB-7153-2021,0.0,0000-0001-6967-4263
"Nener, Brett",94.44,18,97,268,0.7772111111111112,12,3,14.88888888888889,9,12,0,0,1,H-5523-2014,0.0,0000-0001-8081-2620
"Ma, Yu",100.0,7,99,264,1.405557142857143,7,0,37.714285714285715,7,1,0,0,0,D-2255-2011,0.0,
"Grierson, Pauline F",100.0,5,99,264,2.1707799999999997,5,3,52.8,5,2,5,0,0,A-9240-2008,0.0,0000-0003-2135-0272
"Ganganath, N.",100.0,12,99,264,0.9589166666666666,9,1,22.0,8,8,0,0,1,D-3448-2016,0.0,0000-0002-7381-9493
"Ma, Chunbo",100.0,7,102,261,1.480271428571429,7,0,37.285714285714285,7,5,0,0,0,D-3478-2011,0.0,0000-0002-9973-2943
