Name,% Docs Cited,Web of Science Documents,Rank,Times Cited,Category Normalized Citation Impact,Documents in Q1 Journals,Domestic Collaborations,Citation Impact,H-Index,International Collaborations,Industry Collaborations,Highly Cited Papers,Citations From Patents,Web of Science ResearcherID,% Highly Cited Papers,ORCID
"Tan, Chee Pin",96.3,54,41,984,1.1040074074074073,38,3,18.22222222222222,19,40,0,0,2,E-5851-2012,0.0,0000-0003-0162-3763
"Liu, Tianming",96.43,28,42,953,1.7501250000000002,12,7,34.035714285714285,13,19,0,1,2,AAA-4602-2022,3.57,0000-0002-5216-933X
"Mahmoud, Thair",100.0,11,43,942,3.174627272727273,9,6,85.63636363636364,11,5,0,1,0,FLN-6188-2022,9.09,
"Fang, Yihai",95.83,24,44,934,1.7792208333333335,20,7,38.916666666666664,15,10,1,1,5,FZL-8900-2022,4.17,0000-0002-9451-4947
"Shamsaei, Ezzatollah",80.0,5,45,900,1.8327000000000002,4,3,180.0,2,1,0,0,3,P-9862-2017,0.0,0000-0002-9112-2892
"Simonov, Alexandr",100.0,4,46,868,4.977975,2,2,217.0,4,1,0,1,2,B-6236-2015,25.0,0000-0003-3063-6539
"Rana, Md. Sohel",100.0,10,47,855,3.1944500000000002,10,0,85.5,10,6,0,0,0,ITU-1184-2023,0.0,
"Kibria, Mahmud Arman",100.0,14,48,805,2.0713785714285717,11,3,57.5,10,2,2,1,0,CYQ-5356-2022,7.14,
"Caprani, Colin C.",93.18,44,49,801,0.8548386363636364,19,3,18.204545454545453,17,32,0,0,0,DWH-9300-2022,0.0,0000-0001-6166-0895
"Nguyen, Vinh Phu",90.0,20,49,801,1.722915,11,2,40.05,12,13,1,1,0,JNN-6888-2023,5.0,0000-0001-7078-6385
"Edgington-Mitchell, Daniel M.",93.18,44,51,781,1.0369977272727273,25,0,17.75,16,27,0,0,0,FZB-6619-2022,0.0,0000-0001-9032-492X
"Cherepanov, Pavel V.",100.0,1,52,778,14.8598,1,0,778.0,1,0,0,1,2,CLA-8626-2022,100.0,
"Suryanto, Bryan Harry Rahmat",100.0,1,52,778,14.8598,1,0,778.0,1,0,0,1,2,K-8789-2019,100.0,0000-0001-9759-6362
"Hodgetts, Rebecca Y.",100.0,1,52,778,14.8598,1,0,778.0,1,0,0,1,2,DXD-2732-2022,100.0,0000-0001-9569-0873
"Bakker, Jacinta M.",100.0,1,52,778,14.8598,1,0,778.0,1,0,0,1,2,CFF-6347-2022,100.0,
"Phung, Dinh Q",87.5,8,56,773,3.9593125000000002,6,4,96.625,5,4,1,2,2,D-1328-2012,25.0,0000-0002-9977-8247
"Chaffee, Alan L",100.0,41,57,767,0.8615048780487805,37,10,18.70731707317073,18,22,1,0,0,G-6603-2011,0.0,0000-0001-5100-6910
