Name,% Docs Cited,Web of Science Documents,Rank,Times Cited,Category Normalized Citation Impact,Documents in Q1 Journals,Domestic Collaborations,Citation Impact,H-Index,International Collaborations,Industry Collaborations,Highly Cited Papers,Citations From Patents,Web of Science ResearcherID,% Highly Cited Papers,ORCID
"Ashokkumar, Muthupandian",100.0,21,41,868,2.611252380952381,13,0,41.333333333333336,12,20,0,2,1,B-1739-2013,9.52,0000-0002-8442-1499
"Liu, Feng",100.0,14,41,868,3.266464285714286,10,6,62.0,12,0,0,2,2,I-1816-2016,14.29,0000-0002-5005-9129
"Li, Dan",100.0,10,43,795,3.6226999999999996,7,1,79.5,8,7,0,3,0,B-9316-2008,30.0,0000-0003-3461-5751
"Liu, Xuemei",97.87,47,44,777,0.9763999999999999,26,8,16.53191489361702,18,35,1,0,0,Y-9792-2019,0.0,0000-0001-6400-8608
"Hao, Xiaotao",100.0,8,45,740,11.1197,7,4,92.5,7,2,0,3,0,AFU-3978-2022,37.5,0000-0002-0197-6545
"Miller, Tim",100.0,5,45,740,47.90252,3,1,148.0,4,4,1,0,0,JCL-0325-2023,0.0,0000-0003-4908-6063
"Karunasekera, Shanika",100.0,3,47,718,9.679233333333334,3,1,239.33333333333334,3,1,0,1,7,DWO-6381-2022,33.33,0000-0001-7080-5064
"Philip, Jimmy",100.0,30,48,713,1.0426266666666668,19,4,23.766666666666666,14,7,0,0,0,C-7955-2012,0.0,0000-0002-1068-0340
"Tavakoli, Sasan",100.0,40,49,708,1.1753975,16,11,17.7,17,22,0,1,0,DXU-2873-2022,2.5,0000-0003-3155-2628
"Ajibade, Aibinu",100.0,8,50,694,2.01515,4,0,86.75,8,4,0,1,0,D-2635-2017,12.5,0000-0001-6896-1682
"erfani, sedigheh",100.0,1,51,678,27.3368,1,1,678.0,1,0,0,1,7,D-3998-2017,100.0,
"Ramamohanarao, Kotagiri",100.0,6,52,664,4.132916666666667,5,2,110.66666666666667,6,4,0,0,4,DZI-1058-2022,0.0,0000-0003-3304-9268
"Su, Yixin",87.23,47,53,653,0.9910914893617022,23,20,13.893617021276595,14,14,2,0,0,GZB-5776-2022,0.0,
"Narsilio, Guillermo A",95.24,42,54,652,1.006704761904762,26,5,15.523809523809524,16,26,1,0,0,K-3896-2012,0.0,0000-0003-1219-5661
"Lam, Nelson",93.85,65,55,647,0.6265584615384616,27,43,9.953846153846154,15,17,0,0,0,E-8376-2015,0.0,0000-0002-5378-4000
"Marusic, Ivan",97.5,40,55,647,1.2430375,28,2,16.175,14,23,2,0,0,M-1903-2015,0.0,0000-0003-2700-8435
"Oetomo, Denny",96.88,32,57,636,1.1230906250000001,19,5,19.875,13,17,0,0,1,DXD-9419-2022,0.0,0000-0002-2680-6489
"Tian, Yinghui",97.3,37,58,633,0.7491756756756757,8,2,17.10810810810811,14,20,2,0,0,H-5963-2014,0.0,0000-0002-0874-2346
