Name,% Docs Cited,Web of Science Documents,Rank,Times Cited,Category Normalized Citation Impact,Documents in Q1 Journals,Domestic Collaborations,Citation Impact,H-Index,International Collaborations,Industry Collaborations,Highly Cited Papers,Citations From Patents,Web of Science ResearcherID,% Highly Cited Papers,ORCID
"Konarova, Muxina",94.12,17,59,587,2.3365470588235295,16,1,34.529411764705884,10,11,0,2,4,A-6390-2011,11.76,0000-0003-1308-420X
"Halog, Anthony Basco",94.74,19,61,586,1.3004105263157897,13,0,30.842105263157894,11,16,1,0,0,I-6718-2012,0.0,0000-0002-0404-0670
"Meehan, Paul A.",93.62,47,62,582,0.6443276595744681,17,5,12.382978723404255,14,13,3,0,3,DXY-4491-2022,0.0,0000-0003-0168-9690
"Lamiel, Charmaine",100.0,9,63,565,3.8352222222222228,9,0,62.77777777777778,9,9,0,1,0,ABC-2112-2021,11.11,0000-0002-4571-7588
"Kim, Minjun",90.62,32,64,553,1.118778125,16,15,17.28125,14,11,1,1,1,IVV-7956-2023,3.12,0000-0002-3277-1710
"Huang, Shuiquan",100.0,12,65,543,1.9258833333333332,4,0,45.25,12,4,4,0,0,L-4034-2019,0.0,0000-0002-7274-3992
"Perkins, Greg",100.0,9,66,541,1.1552444444444445,5,0,60.111111111111114,8,2,0,1,3,GFE-4478-2022,11.11,0000-0002-3157-1792
"Haque, Md Mejbaul",90.0,10,67,538,4.40126,6,1,53.8,7,6,0,1,0,AAZ-7087-2021,10.0,0000-0002-7615-7982
"Xu, Henry",77.78,9,68,531,3.7652333333333337,5,0,59.0,6,9,0,2,0,DTL-7976-2022,22.22,0000-0002-0987-2329
"Callaghan, David",95.65,23,69,529,1.073704347826087,20,5,23.0,12,7,0,0,0,C-1524-2016,0.0,0000-0003-1405-7510
"Thomas, Kevin",100.0,14,70,523,2.1491714285714285,14,3,37.357142857142854,12,10,1,0,1,AAO-2170-2020,0.0,0000-0002-2155-100X
"Guo, Lei",100.0,21,71,522,1.2208190476190477,5,2,24.857142857142858,15,3,2,0,2,KGZ-6981-2024,0.0,0000-0003-4340-5801
"Fu, Weng",100.0,16,72,521,2.29535625,15,1,32.5625,13,15,0,0,0,FZR-0349-2022,0.0,0000-0003-0664-2787
"Kenway, Steven j",94.44,18,73,520,1.3239944444444445,18,4,28.88888888888889,14,10,1,0,0,J-8031-2013,0.0,0000-0002-2095-9388
"Zamani, Ali",100.0,22,74,519,1.0663409090909093,13,4,23.59090909090909,14,0,0,0,4,P-8163-2018,0.0,0000-0001-6146-6013
"Crozier, Stuart",96.67,30,75,512,0.7308666666666668,18,2,17.066666666666666,13,16,3,0,1,C-4981-2013,0.0,0000-0003-4036-2930
"Mahmoudi, Nadali",100.0,17,76,509,1.2649000000000001,9,0,29.941176470588236,12,7,0,0,0,FJI-7457-2022,0.0,
"Smart, Simon K",100.0,17,77,506,1.267394117647059,11,3,29.764705882352942,10,7,0,0,6,D-2983-2009,0.0,
"Moni, Mohammad Ali",100.0,10,78,504,3.01543,6,1,50.4,10,9,0,1,0,ABG-3606-2020,10.0,0000-0003-0756-1006
"Yu, Zhigang",100.0,12,79,496,2.4669000000000003,12,4,41.333333333333336,9,5,0,0,0,Y-6075-2019,0.0,0000-0001-5352-2126
"Tong, Zhen Wei Marcus",100.0,3,80,491,6.405,3,2,163.66666666666666,3,0,0,1,1,JJJ-6671-2023,33.33,
"Stanmore, B.",100.0,3,81,488,1.6461333333333332,3,0,162.66666666666666,3,3,0,0,0,GBL-9034-2022,0.0,
"Lyu, Miaoqiang",100.0,5,82,484,6.25722,4,0,96.8,5,5,0,1,0,D-7529-2015,20.0,0000-0003-0212-4325
"Lovell, Brian C.",96.15,26,82,484,1.735019230769231,13,6,18.615384615384617,12,14,0,0,3,GDA-8000-2022,0.0,0000-0001-6722-1754
"Towler, B.",100.0,7,84,476,1.6504142857142858,4,3,68.0,7,1,0,0,3,GCE-6490-2022,0.0,0000-0003-0687-3614
"Bermingham, Michael",100.0,12,85,472,2.104166666666667,4,7,39.333333333333336,12,2,6,1,0,D-4660-2013,8.33,0000-0003-1374-0473
"Bean, Richard",80.0,5,86,466,5.08938,3,0,93.2,4,3,0,1,0,J-9476-2014,20.0,0000-0002-1723-6760
"Quader, M. Abdul",100.0,5,86,466,1.4035600000000001,3,0,93.2,5,5,0,1,1,H-9149-2017,20.0,0000-0003-3939-7976
"Franks, Daniel",100.0,4,88,462,1.7689750000000002,4,0,115.5,3,2,0,1,0,ISW-1282-2023,25.0,0000-0003-1217-2128
"Klimenko, Alexander Y.",94.74,19,89,454,0.788,14,3,23.894736842105264,11,9,0,0,0,CYZ-2252-2022,0.0,
"Li, Xue",82.35,17,90,453,1.7396058823529414,12,3,26.647058823529413,9,14,1,0,1,DEG-1495-2022,0.0,0000-0003-3437-0870
"Hidalgo, Juan Patricio",100.0,21,91,452,1.2365285714285714,5,3,21.523809523809526,13,17,0,0,1,Q-3859-2019,0.0,0000-0002-2972-5238
"Islam, M. N.",100.0,12,92,451,0.8012750000000001,1,2,37.583333333333336,10,5,0,0,1,HTI-5873-2023,0.0,
"Freschi, Fabio",94.12,34,93,449,0.6163823529411765,19,2,13.205882352941176,10,25,5,0,0,D-5269-2015,0.0,0000-0002-8183-3228
"Morgan, Richard",94.87,39,93,449,0.4810820512820513,10,2,11.512820512820513,13,21,1,0,0,C-8822-2013,0.0,0000-0003-3625-9180
"Keller, Jurg",100.0,7,95,446,2.6914714285714285,6,1,63.714285714285715,7,5,0,1,0,C-3649-2013,14.29,0000-0001-6796-0936
"Yu, Xin",100.0,25,96,445,1.6063680000000002,24,3,17.8,13,18,3,0,1,HZU-4369-2023,0.0,0000-0002-0269-5649
"Attar, Hooyar",100.0,3,96,445,3.3975333333333335,1,2,148.33333333333334,3,1,1,1,0,DUK-1877-2022,33.33,0000-0002-7718-1386
"Gravina, R. J.",95.0,20,96,445,1.33521,9,7,22.25,12,7,0,0,0,GGB-6137-2022,0.0,0000-0002-8681-5045
"Raza, Syed Shabbar",100.0,6,99,444,2.65265,5,0,74.0,5,2,0,0,0,FYN-8994-2022,0.0,0000-0003-0808-1661
