Name,% Docs Cited,Web of Science Documents,Rank,Times Cited,Category Normalized Citation Impact,Documents in Q1 Journals,Domestic Collaborations,Citation Impact,H-Index,International Collaborations,Industry Collaborations,Highly Cited Papers,Citations From Patents,Web of Science ResearcherID,% Highly Cited Papers,ORCID
"Chen, Yidi",100.0,13,72,607,3.432315384615385,11,3,46.69230769230769,10,8,0,2,0,AAI-7806-2021,15.38,0000-0001-8670-4831
"Farajpour, Ali",93.75,16,73,601,2.3860375,12,2,37.5625,11,12,0,1,0,EVJ-1707-2022,6.25,
"Pourhedayat, Samira",100.0,26,74,591,1.4504769230769232,24,0,22.73076923076923,18,13,0,0,1,FQP-9161-2022,0.0,
"zhang, jinqiang",90.0,20,75,590,2.764765,17,1,29.5,14,19,0,1,0,AAO-4571-2020,5.0,0000-0002-9955-8826
"Chen, Ley",100.0,27,76,570,1.0242962962962965,21,0,21.11111111111111,12,4,0,0,16,JVO-8263-2024,0.0,0000-0002-2269-2912
"Shokrollahi, Amin",91.67,12,77,567,1.8323166666666666,6,6,47.25,8,6,0,0,0,ABI-4767-2020,0.0,0000-0001-7938-7022
"Basak, Animesh Kumar",90.0,30,78,566,0.9006433333333334,8,9,18.866666666666667,15,21,0,0,1,C-5370-2009,0.0,0000-0003-2301-4758
"Williamson, Terence",100.0,11,79,553,1.8483727272727273,10,1,50.27272727272727,11,3,0,1,0,DXG-9612-2022,9.09,0000-0002-4917-4082
"Ding, Boyin",96.67,30,80,543,1.1579966666666666,20,7,18.1,15,14,0,0,0,GBF-8866-2022,0.0,0000-0001-8417-8057
"tian, zhao f",96.67,30,81,534,0.7596200000000001,18,3,17.8,11,6,0,0,0,B-1075-2010,0.0,0000-0001-9847-6004
"Dinovitser, Alex",80.0,10,82,523,2.63355,5,1,52.3,7,8,0,0,1,ERU-9668-2022,0.0,
"Sheikh, Abdul Hamid",91.18,34,83,522,0.843564705882353,23,11,15.352941176470589,15,12,0,0,0,FXK-7064-2022,0.0,0000-0002-2839-1707
"Tansu, Nelson",90.0,10,84,500,1.82044,3,4,50.0,8,1,1,0,4,A-2309-2008,0.0,0000-0002-3811-9125
"Haghighi, Manouchehr",94.44,18,85,487,1.6589277777777778,10,6,27.055555555555557,11,8,0,0,0,AAC-2540-2019,0.0,0000-0001-9364-2894
"Yu, Jingxian",92.59,27,86,466,1.4588444444444446,13,18,17.25925925925926,14,6,1,1,5,AAZ-8652-2020,3.7,0000-0002-6489-5988
"Islam, Md Saiful",100.0,8,87,461,2.9743125,2,2,57.625,8,6,0,0,1,FXQ-0144-2022,0.0,0000-0003-0578-4732
"Arulampalam, Sanjeev",93.75,16,88,449,1.78265,14,12,28.0625,11,4,1,0,1,EOH-8698-2022,0.0,
"Saw, Woei",88.0,25,89,447,0.729944,14,2,17.88,12,13,1,0,0,DWC-1378-2022,0.0,0000-0002-2538-5811
"Zhao, Jiangbo",92.86,28,90,441,0.9759607142857144,11,7,15.75,12,1,0,0,1,A-7886-2015,0.0,0000-0002-5883-6017
"Sergiienko, Nataliia Y.",100.0,30,91,438,1.19322,23,4,14.6,13,14,0,0,0,AAB-3595-2020,0.0,0000-0002-3418-398X
"Van Duc, Long Nguyen",94.74,19,92,434,0.9119842105263158,7,2,22.842105263157894,11,11,0,0,3,Q-5906-2016,0.0,0000-0002-2106-982X
"Smith, Scott T",80.77,26,93,433,1.3740846153846153,14,5,16.653846153846153,12,12,0,0,0,M-8785-2016,0.0,0000-0002-8837-1214
"Singh, Sarabjeet",100.0,4,94,429,3.43405,4,2,107.25,4,1,0,0,0,FYN-3678-2022,0.0,
"Simpson, Angus R",100.0,10,95,427,1.6909300000000003,3,1,42.7,8,1,0,0,6,I-1281-2014,0.0,
"Chin, Cheng",100.0,30,95,427,0.9426400000000001,14,5,14.233333333333333,11,13,0,0,0,F-4451-2016,0.0,0000-0002-2709-4321
"Lewis, David M.",100.0,14,97,426,1.4647857142857144,11,2,30.428571428571427,12,4,0,0,0,DXU-1465-2022,0.0,0000-0002-5322-1873
"Nine, Md Julker",90.0,10,98,420,1.69161,6,1,42.0,8,6,0,0,0,Y-4203-2019,0.0,0000-0002-5740-8627
"Gu, Lei",100.0,2,98,420,2.7026,1,0,210.0,2,0,0,1,4,Y-5841-2019,50.0,0000-0002-7036-7321
"Bennetts, Helen",100.0,5,100,405,1.38096,4,0,81.0,4,2,0,0,0,GBO-0429-2022,0.0,0000-0002-3600-0382
"Ali, M. S. Mohamed",84.21,19,101,399,1.0042157894736843,4,4,21.0,10,6,0,0,0,EJR-8285-2022,0.0,
"Xu, Chaoshui",88.24,17,102,397,1.1665882352941177,10,1,23.352941176470587,10,14,0,0,1,B-3249-2015,0.0,0000-0001-6662-3823
"Yang, B.",100.0,5,103,386,4.10878,5,0,77.2,5,2,0,0,0,CGE-2495-2022,0.0,
"Neumann, Frank",94.12,17,104,381,1.2731294117647058,6,0,22.41176470588235,10,14,0,0,0,CCY-1527-2022,0.0,0000-0002-2721-3618
"Zeinijahromi, Abbas",89.47,19,105,379,1.0202736842105264,11,3,19.94736842105263,10,11,7,0,0,AAP-9109-2021,0.0,0000-0002-3088-6952
"Tafsirojjaman, T.",100.0,22,106,375,1.4045363636363637,12,8,17.045454545454547,12,13,0,0,0,AAE-9501-2020,0.0,0000-0002-4801-6744
"Choudhry, Amanullah",100.0,6,107,373,2.336133333333333,4,1,62.166666666666664,6,2,0,0,0,EQC-3162-2022,0.0,
"Simpson, Angus R.",89.47,19,108,363,0.887678947368421,6,8,19.105263157894736,10,2,1,0,0,DXT-2943-2022,0.0,0000-0003-1633-0111
"Ahmadi, Alireza Moazen",100.0,3,109,361,4.6611,3,1,120.33333333333333,3,1,0,0,0,IAS-7495-2023,0.0,
"Deng, An",100.0,21,110,357,0.9633142857142858,3,6,17.0,12,11,0,0,0,B-6222-2012,0.0,0000-0002-3897-9803
"Badalyan, Alexander",100.0,13,111,355,1.1938307692307693,8,3,27.307692307692307,10,7,5,0,0,T-5611-2019,0.0,0000-0003-1130-6083
"Kwong, C. W.",100.0,10,112,354,1.4541400000000002,9,1,35.4,10,7,0,0,0,DYX-1264-2022,0.0,0000-0001-8920-5667
"Bennett, B.",92.31,13,113,347,2.0193615384615384,12,5,26.692307692307693,9,4,0,0,0,EOR-5181-2022,0.0,
"Ranasinghe, Damith C.",100.0,13,114,343,1.4808076923076925,6,4,26.384615384615383,10,1,0,0,1,GDF-1694-2022,0.0,0000-0002-2008-9255
"RODRIGO, M.N.N.",100.0,6,115,336,2.0651833333333336,2,1,56.0,5,1,0,1,0,AAQ-8658-2021,16.67,0000-0003-0896-1239
"Ghomashchi, Reza",100.0,4,116,334,2.7983000000000002,2,3,83.5,4,0,0,0,0,FYT-8428-2022,0.0,0000-0003-3633-2296
"Nakhjavani, Maryam",100.0,3,117,331,4.622700000000001,2,0,110.33333333333333,3,3,0,0,0,N-2177-2019,0.0,
"Feng, Xueying",75.0,4,117,331,9.805,4,1,82.75,3,1,0,2,0,KAH-3841-2024,50.0,0000-0002-3763-8169
"Uzair, Muhammad",90.0,10,119,330,1.5834400000000002,9,2,33.0,8,7,0,0,3,DSX-5981-2022,0.0,0000-0001-5964-4351
"Li, Hui",100.0,7,120,328,3.0021,7,1,46.857142857142854,7,6,0,0,3,DBJ-0179-2022,0.0,
"kabiri, shervin",100.0,6,121,326,2.5283,4,2,54.333333333333336,5,2,1,0,3,ADZ-4155-2022,0.0,
"Lu, Tien-Fu",94.44,18,122,324,1.290788888888889,13,1,18.0,9,8,0,0,4,DDA-8377-2022,0.0,0000-0001-9757-9028
"Maier, Holger",100.0,12,123,323,1.4245416666666666,12,3,26.916666666666668,6,2,1,0,0,B-9639-2008,0.0,0000-0002-0277-6887
"Wagner, Liam",100.0,6,124,317,1.4503833333333336,4,4,52.833333333333336,6,0,0,0,0,E-2948-2010,0.0,0000-0003-1297-5801
"Tian, Wenjie",100.0,8,125,315,2.7172125000000005,8,3,39.375,7,5,0,0,0,AAU-4879-2021,0.0,0000-0002-9896-1154
